no_regis_produto, nome_equi, index_Recurso, categoria, Equi_obs, garantia
86, Software eCognition and PIX4D mapper, 119, Deteção Remota, GEOMODLAB
87, Lidar Phoenix Scout, 120, Deteção Remota,
88, Hexacopterous, 121, Deteção Remota, Drones
89, Sensefly Ebee Classic, 122, Deteção Remota, Drones
90, Sensefly Ebee Plus RTK, 123, Deteção Remota, Drones
91, DJI Phantom 3 Advanced, 124, Deteção Remota, Drones
92, DJI Phantom 4, 125, Deteção Remota, Drones
93, Soda and Parrot Sequoia, 126, Deteção Remota, Câmaras para drones

94, Absorção Atómica Zenit, 127, Georecursos,
95, Espectrofotómetro de feixe duplo Varian 100, 128, Georecursos,
96, Fluorescência de raios X de energia dispersiva, 129, Georecursos,
97, Reactor de lixiviação sob pressão, 130, Georecursos,
98, Identificador de radionuclídeos com detector de germânio, 131, Georecursos,
99, Analisador de granulometria por difração Laser, 132, Georecursos,
100, Cromatógrafo fase gasosa para colunas com empacotamento FID e TCD, 133, Georecursos,
101, Cromatógrafo em fase gasosa com colunas capilares para FID e ECD, 134, Georecursos,
102, Célula de flutuação, 135, Georecursos,
103, Câmara Corrosão Climática, 136, Georecursos,

104, equipamento de perfuração para rocha, 137, Outros, Geradores
105, Trado para solos, 138, Outros, Geradores
106, Servidores, 139, Outros,
107, Sensores meteorológicos, 140, Outros,
108, dataloggers diversos, 141, Outros,
